Ayyoub Boulahri;0693316728;ayyoubboulahri@gmail.com;Meknes
Ahmed;0712345678;ahmed@yahoo.com;45 Oak Street, Springfield
Sarah;0765432109;sarah@gmail.com;789 Elm Road, Rivertown
Karim;0643210987;karim@hotmail.com;22 Maple Avenue, Hillside
Layla;0723456789;layla@yahoo.com;56 Birch Lane, Lakeside
Hassan;0687654321;hassan@gmail.com;90 Pine Drive, Mountainview
Nour;0709876543;nour@hotmail.com;34 Cedar Court, Valleytown
Yasmin;0698765432;yasmin@yahoo.com;78 Willow Way, Meadowville
Omar;0732109876;omar@gmail.com;11 Redwood Street, Oceanview
amine;234567890;amineamine@gmail.com;meknes
